filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-38-4627-01Z-00-DX1.fe406eb9-b38b-410d-aa1a-84ab8ac091c7.svs,"(149642, 65033)",4,"(149642, 65033)",1.0,"(37410, 16258)",4.00005748491093,"(9352, 4064)",16.001641928460288,"(2338, 1016)",64.00656771384115
TCGA-49-4512-01Z-00-DX1.ced0bda8-f2d6-4bcb-b2d6-b122846a3079.svs,"(107435, 79902)",4,"(107435, 79902)",1.0,"(26858, 19975)",4.000105911859629,"(6714, 4993)",16.0022211465429,"(3357, 2496)",32.00764798297473
TCGA-86-8054-01Z-00-DX1.2c4c08f6-be1c-46d1-a719-5983cade0c54.svs,"(70984, 44858)",4,"(70984, 44858)",1.0,"(17746, 11214)",4.000089174246478,"(4436, 2803)",16.002685516323325,"(2218, 1401)",32.01108251287725
TCGA-49-4505-01Z-00-DX3.d3f8d0c4-e4bc-4201-9b2f-e010f51dd8c3.svs,"(115109, 79453)",4,"(115109, 79453)",1.0,"(28777, 19863)",4.000042547418122,"(7194, 4965)",16.001656675964448,"(3597, 2482)",32.00653708648334
TCGA-55-7995-01Z-00-DX1.fef24d04-35a0-4f57-8f51-7ad602a78871.svs,"(92087, 53404)",4,"(92087, 53404)",1.0,"(23021, 13351)",4.000065157899309,"(5755, 3337)",16.002406188987074,"(2877, 1668)",32.01239050469739
TCGA-38-4629-01Z-00-DX1.d00cc280-5370-4b9f-9655-6c35deb94647.svs,"(110313, 74849)",4,"(110313, 74849)",1.0,"(27578, 18712)",4.000044851214655,"(6894, 4678)",16.000759624797816,"(3447, 2339)",32.00151924959563
TCGA-95-7039-01Z-00-DX1.C191A46D-A667-4BF6-8E6B-3E5CBF9DF43F.svs,"(95232, 73984)",4,"(95232, 73984)",1.0,"(23808, 18496)",4.0,"(5952, 4624)",16.0,"(2976, 2312)",32.0
TCGA-55-7724-01Z-00-DX1.31a194ac-62e3-4225-8e32-8c2a83dcdd10.svs,"(37410, 23028)",3,"(37410, 23028)",1.0,"(9352, 5757)",4.000106928999145,"(2338, 1439)",16.001817570061903,,
TCGA-86-8281-01Z-00-DX1.02237263-003b-4de1-8a2f-0f3ad14768c7.svs,"(49801, 47480)",3,"(49801, 47480)",1.0,"(12450, 11870)",4.00004016064257,"(3112, 2967)",16.002794178551902,,
TCGA-69-8255-01Z-00-DX1.75d1666c-c088-405c-80da-52d84b990361.svs,"(86332, 69586)",4,"(86332, 69586)",1.0,"(21583, 17396)",4.000057484479191,"(5395, 4349)",16.00134207878794,"(2697, 2174)",32.00933078731727
TCGA-MN-A4N1-01Z-00-DX2.9B0852C4-16BF-4962-B86F-E2570E48A89E.svs,"(113543, 92514)",4,"(113543, 92514)",1.0,"(28385, 23128)",4.000096082446438,"(7096, 5782)",16.00066618616185,"(3548, 2891)",32.0013323723237
TCGA-L9-A743-01Z-00-DX1.27ED2955-E8B5-4A3C-ADAA-82568ECCFB83.svs,"(83663, 64804)",4,"(83663, 64804)",1.0,"(20915, 16201)",4.000071718862061,"(5228, 4050)",16.001928410175033,"(2614, 2025)",32.003856820350066
TCGA-73-4666-01Z-00-DX1.dd9c8922-ddd1-4674-8124-9e334532e47e.svs,"(108394, 66978)",4,"(108394, 66978)",1.0,"(27098, 16744)",4.000096625978289,"(6774, 4186)",16.00097700787037,"(3387, 2093)",32.00195401574074
